Date;TeamAbbreviation;PlayerName;Duration
2022-11-03;NYI;Casey Cizikas;6
2022-11-14;OTT;Travis Hamonic;4
2022-11-15;WAS;Trevor van Riemsdyk;6
2022-11-17;MTL;Jonathan Drouin;6
2022-11-21;TBL;Alex Killorn;6
2022-11-23;OTT;Brady Tkachuk;3
2022-11-25;NJD;Damon Severson;4
2022-11-29;PIT;Evgeni Malkin;2
2022-12-04;DET;Dominik Kubalík;4
2022-12-05;NYR;Jacob Trouba;4
2022-12-13;NYI;Zach Parise;3
2022-12-29;SJS;Luke Kunin;7
2023-01-10;ARZ;Dylan Guenther;6
2023-01-18;TBL;R?dolfs Balcers;1
2023-01-21;STL;Logan Brown;1
2023-02-16;WPG;Adam Lowry;1
2023-02-17;ANA;Colton White;6
2023-02-20;CGY;Trevor Lewis;4
2023-02-21;ANA;Cal Foote;2
2023-03-01;NYR;Ryan Lindgren;7
2023-03-03;CBJ;Adam Boqvist;6
2023-03-18;PHI;Travis Konecny;7
2023-03-21;ANA;Nicolas Deslauriers;6
2023-03-21;WAS;Tom Wilson;5
2023-04-10;ARZ;Antonio Stranges;7
2023-04-19;VAN;Tyler Myers;1
2023-04-21;CGY;Nikita Zadorov;1
2023-11-01;TBL;Brayden Point;5
2023-11-05;SJS;Tomás Hertl;6
2023-11-05;TBL;Benoît-Olivier Groulx;5
2023-11-08;SJS;William Eklund;1
2023-11-12;BUF;Pierre Engvall;7
2023-11-24;VAN;Nicolas Beaudin;5
2023-12-05;STL;K'Andre Miller;1
2023-12-08;EDM;Leon Draisaitl;1
2023-12-12;FLA;Justin Sourdif;4
2023-12-12;NSH;Carson Soucy;3
2023-12-18;CGY;Elias Lindholm;3
2023-12-26;CBJ;Jake Bean;4
2024-01-06;NYR;Jacob Trouba;4
2024-01-13;WAS;Connor McMichael;4
2024-02-11;SEA;Brandon Tanev;7
2024-02-15;LAK;Drew Doughty;3
2024-02-22;LAK;Blake Lizotte;2
2024-02-25;MIN;Kirill Kaprizov;2
2024-03-01;SJS;Luke Kunin;3
2024-03-02;NJD;Nathan Bastian;7
2024-03-07;BUF;Alex Tuch;4
2024-03-07;CHI;Charlie Coyle;3
2024-03-08;DET;David Perron;4
2024-03-10;BUF;Dylan Cozens;1
2024-03-11;BOS;Brad Marchand;5
2024-03-19;DET;David Perron;4
2024-03-19;NYR;Joel Eriksson Ek;6
2024-03-23;NSH;Nino Niederreiter;3
2024-03-24;WAS;Zachary Bolduc;4
2024-03-26;EDM;Evander Kane;6
2024-03-29;FLA;Anthony Duclair;4
2024-03-30;ANA;Keegan Kolesar;1
2024-03-30;LAK;Trevor Moore;4
2024-04-04;WAS;Alex Ovechkin;1
2024-10-10;MTL;Michael Pezzetta;7
2024-10-18;BOS;Hampus Lindholm;6
2024-10-22;PIT;Sammy Blais;4
2024-10-25;FLA;Aaron Ekblad;3
2024-10-26;VGK;Jack Eichel;2
2024-11-18;ANA;Cal Foote;3
2024-11-18;CGY;Colin Miller;5
2024-11-20;ARZ;Luke Kunin;8
2024-11-23;OTT;Tyler Kleven;6
2024-11-25;SEA;Brandon Tanev;4
2024-11-26;BOS;Trent Frederic;3
2024-12-16;PHI;Ludwig Persson;3
2024-12-20;TOR;Matthew Knies;6
2024-12-24;NYR;Mika Zibanejad;2
2024-12-30;SJS;Tristen Robins;7
2025-01-14;CHI;Nicolas Roy;4
2025-01-20;PIT;Connor Clifton;7
2025-02-08;NYR;Filip Zadina;2
2025-02-16;ANA;Jamie Drysdale;5
2025-02-18;SEA;Connor Bunnaman;6
2025-02-20;PIT;John Beecher;2
2025-02-22;WAS;Jani Hakanpää;7
2025-02-26;SJS;Nico Sturm;6
2025-03-06;BUF;Dylan Cozens;1
2025-03-11;CHI;Paul Ludwinski;4
2025-03-11;PIT;Filip Hållander;1
2025-03-13;CAR;Matt Boldy;4
2025-03-13;NYI;Connor Clifton;4
2025-03-15;EDM;Evander Kane;4
2025-03-17;ANA;Urho Vaakanainen;7
2025-03-20;OTT;Brady Tkachuk;3
2025-04-08;CAR;Andrei Svechnikov;6
